                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8727,                  5.011,                 1.2275,                0.24427,                0.49341,                 0.1717,                0.09206,                 1.5263,                  4.682,                 1.0012,             0.00010336,             0.00010336,             0.00010336
                      2,                  1.062,                 2.5437,                0.91952,                0.45871,                  0.619,                0.46917,                0.36976,                0.84857,                 3.3762,                0.86883,             0.00019105,             0.00019105,             0.00019105
                      3,                0.88827,                 1.7568,                0.87393,                0.45108,                0.56694,                0.57735,                0.47356,                0.82033,                 1.7128,                0.85644,             0.00025956,             0.00025956,             0.00025956
                      4,                0.77159,                 1.5036,                 0.8399,                0.63358,                 0.6815,                0.73365,                 0.6118,                0.71728,                 1.1731,                0.84374,             0.00023579,             0.00023579,             0.00023579
                      5,                0.76582,                 1.1996,                0.84173,                0.65887,                0.80152,                0.84415,                0.70252,                0.73636,                0.95037,                 0.8421,             0.00020672,             0.00020672,             0.00020672
                      6,                0.70612,                0.99839,                0.83838,                0.82696,                0.80004,                0.85686,                0.72237,                 0.6486,                0.96356,                0.83048,             0.00017765,             0.00017765,             0.00017765
                      7,                0.66586,                0.82802,                0.82893,                0.89418,                0.88565,                0.92376,                0.78938,                0.63989,                0.76052,                0.82395,             0.00014858,             0.00014858,             0.00014858
                      8,                0.63464,                0.78473,                0.83136,                0.88344,                0.90177,                 0.9122,                0.79769,                0.57417,                0.70287,                 0.8138,             0.00011951,             0.00011951,             0.00011951
                      9,                0.62624,                0.69379,                0.82138,                0.89818,                0.89446,                 0.9264,                0.81296,                0.55285,                0.65407,                0.81358,              9.044e-05,              9.044e-05,              9.044e-05
                     10,                0.59948,                0.64293,                0.81312,                0.88359,                0.89473,                 0.9387,                0.82219,                0.53045,                 0.6232,                0.81487,              6.137e-05,              6.137e-05,              6.137e-05
                     11,                0.56449,                0.62993,                 0.8167,                0.93292,                0.88545,                0.93597,                0.82431,                0.52368,                0.58953,                0.81238,               3.23e-05,               3.23e-05,               3.23e-05
